College,Year,Asian,Black or African American,Hispanic,White,"Native Hawaiian or Other Pacific Islander, American Indian or Alaska Native",Two or more races,Unknown race and ethnicity,U.S. Nonresident,diff_black,diff_hispanic,diff_asian,diff_white,diff_black_sum,diff_hispanic_sum,diff_asian_sum,diff_white_sum
Amherst College,2024,0.2,0.03,0.08,0.39,0.0,0.08,0.07,0.16,-0.079,-0.043,0.014,0.05,-0.075,-0.081,0.078,0.015
Bates College,2024,0.067,0.047,0.118,0.578,0.0,0.094,0.002,0.094,0.007,0.045,-0.006,-0.032,0.02,0.02,-0.006,-0.036
Berea College,2024,0.04,0.187,0.167,0.443,0.0,0.062,0.005,0.097,-0.021,0.012,0.004,0.017,-0.009,0.002,0.0,-0.012
Boston College,2024,0.12,0.048,0.145,0.528,0.001,0.056,0.025,0.077,-0.007,0.015,0.016,-0.037,-0.021,0.028,-0.012,-0.055
Bowdoin College,2024,0.095,0.057,0.16,0.538,0.0,0.077,0.004,0.069,0.011,0.025,-0.04,0.044,-0.008,-0.007,-0.005,0.036
Brandeis University,2024,0.175,0.06,0.117,0.35,0.001,0.045,0.085,0.168,0.006,0.025,-0.021,-0.047,-0.003,0.028,-0.002,-0.075
Bucknell University,2024,0.038,0.047,0.105,0.718,0.002,0.043,0.004,0.041,0.006,0.014,-0.011,-0.014,0.003,0.022,0.0,-0.027
California Institute of Technology,2024,0.413,0.055,0.101,0.197,0.005,0.078,0.0,0.151,0.014,-0.004,0.018,-0.014,0.006,-0.082,0.047,0.001
Carleton College,2024,0.101,0.041,0.093,0.521,0.004,0.093,0.041,0.107,-0.028,-0.011,-0.016,0.027,-0.027,-0.018,-0.019,0.034
Carnegie Mellon University,2024,0.393,0.022,0.064,0.21,0.0,0.042,0.07,0.2,-0.023,-0.055,0.04,-0.004,-0.023,-0.059,0.061,0.003
Case Western Reserve University,2024,0.37,0.05,0.1,0.33,0.0,0.05,0.02,0.08,-0.015,-0.03,0.068,0.026,-0.05,-0.044,0.122,0.022
Colgate University,2024,0.056,0.034,0.098,0.638,0.001,0.063,0.032,0.079,-0.007,0.01,0.004,-0.005,-0.01,-0.007,-0.007,0.015
College of the Holy Cross,2024,0.032,0.06,0.145,0.634,0.001,0.038,0.047,0.043,0.004,0.009,0.004,-0.029,0.036,0.019,0.0,-0.078
Connecticut College,2024,0.033,0.064,0.126,0.636,0.0,0.053,0.033,0.053,0.023,0.023,-0.012,-0.069,0.027,-0.006,0.0,-0.062
Cooper Union,2024,0.333,0.076,0.091,0.278,0.005,0.086,0.04,0.091,0.017,-0.033,-0.016,-0.002,0.03,-0.027,0.02,-0.004
Cornell University,2024,0.286,0.043,0.094,0.319,0.002,0.062,0.088,0.106,-0.031,-0.056,0.014,0.032,-0.04,-0.06,0.05,0.012
Dartmouth College,2024,0.127,0.059,0.11,0.409,0.011,0.083,0.057,0.144,-0.003,0.025,-0.02,-0.038,-0.001,0.018,-0.01,-0.044
Emory University,2024,0.244,0.099,0.12,0.278,0.001,0.035,0.056,0.166,-0.001,-0.01,-0.012,0.002,0.003,-0.003,0.01,-0.041
Franklin and Marshall College,2024,0.063,0.05,0.096,0.579,0.0,0.038,0.008,0.166,0.014,0.004,0.009,-0.05,0.013,0.006,0.018,0.012
Georgetown University,2024,0.175,0.051,0.114,0.43,0.0,0.079,0.081,0.072,0.0,0.019,-0.007,-0.062,0.001,0.053,-0.006,-0.105
Georgia Institute of Technology,2024,0.34,0.078,0.08,0.36,0.001,0.046,0.008,0.087,-0.014,-0.01,-0.004,0.017,-0.01,-0.013,0.003,0.012
Grinnell College,2024,0.126,0.046,0.098,0.432,0.002,0.071,0.002,0.223,-0.007,0.021,0.021,-0.052,-0.011,-0.005,0.048,-0.083
Harvey Mudd College,2024,0.212,0.035,0.186,0.286,0.004,0.113,0.065,0.1,-0.001,-0.064,0.029,0.076,-0.024,-0.055,0.001,0.041
Johns Hopkins University,2024,0.408,0.035,0.107,0.21,0.002,0.058,0.03,0.15,-0.063,-0.101,0.152,0.017,-0.073,-0.123,0.143,0.044
Kenyon College,2024,0.034,0.021,0.1,0.665,0.0,0.062,0.011,0.107,-0.001,0.019,-0.019,-0.008,-0.005,0.017,-0.024,0.013
Lehigh University,2024,0.103,0.052,0.107,0.618,0.003,0.043,0.021,0.06,0.0,-0.017,-0.017,0.052,0.003,0.001,-0.013,0.044
Macalester College,2024,0.08,0.061,0.086,0.452,0.005,0.082,0.023,0.209,0.011,-0.041,-0.001,-0.007,-0.004,-0.026,0.008,-0.086
Middlebury College,2024,0.065,0.033,0.119,0.559,0.0,0.062,0.01,0.152,-0.022,-0.014,-0.032,0.069,-0.045,-0.048,-0.018,0.096
New York University,2024,0.268,0.042,0.098,0.234,0.001,0.052,0.052,0.253,-0.032,-0.054,0.044,0.029,-0.035,-0.064,0.055,0.022
Northwestern University,2024,0.19,0.11,0.18,0.25,0.0,0.07,0.06,0.13,0.02,0.01,-0.04,-0.04,0.027,0.031,-0.024,-0.083
Oberlin College,2024,0.037,0.054,0.113,0.561,0.003,0.093,0.023,0.117,0.018,0.038,-0.023,-0.091,0.019,0.031,-0.021,-0.064
Occidental College,2024,0.19,0.05,0.18,0.43,0.006,0.08,0.0,0.06,0.01,0.0,0.04,-0.04,0.018,0.024,0.039,-0.078
Pomona College,2024,0.213,0.05,0.179,0.294,0.0,0.069,0.05,0.144,-0.048,-0.007,0.027,0.019,-0.091,0.016,0.033,0.034
Princeton University,2024,0.238,0.089,0.09,0.313,0.001,0.072,0.077,0.12,-0.001,-0.008,-0.004,-0.006,0.003,0.006,-0.013,-0.024
Rensselaer Polytechnic Institute,2024,0.209,0.035,0.101,0.513,0.002,0.057,0.042,0.043,-0.019,-0.027,-0.02,0.073,-0.008,-0.022,-0.025,0.079
Rice University,2024,0.29,0.06,0.17,0.26,0.0,0.06,0.03,0.14,-0.02,-0.01,-0.01,0.02,-0.023,0.004,-0.001,0.004
Rose-Hulman Institute of Technology,2024,0.089,0.02,0.05,0.651,0.002,0.07,0.005,0.114,-0.005,-0.006,0.022,-0.059,0.008,0.013,0.009,-0.075
Scripps College,2024,0.166,0.026,0.099,0.537,0.0,0.086,0.022,0.064,-0.025,-0.021,-0.012,0.079,-0.028,-0.02,0.062,-0.028
Smith College,2024,0.091,0.043,0.129,0.454,0.002,0.079,0.045,0.157,-0.003,0.0,-0.015,-0.053,-0.02,0.008,0.009,-0.079
Stanford University,2024,0.27,0.05,0.15,0.22,0.01,0.08,0.08,0.14,-0.039,-0.017,-0.018,0.001,-0.023,-0.017,-0.021,0.0
Swarthmore College,2024,0.173,0.08,0.164,0.326,0.007,0.101,0.035,0.115,-0.009,-0.017,0.016,0.049,-0.031,0.03,0.0,0.03
The College of New Jersey,2024,0.1,0.06,0.18,0.59,0.0,0.02,0.04,0.01,0.0,-0.01,-0.02,0.04,-0.009,-0.02,0.001,0.034
Tufts University,2024,0.171,0.041,0.1,0.427,0.0,0.069,0.058,0.134,-0.023,0.008,-0.008,0.015,-0.032,0.003,0.009,0.02
Tulane University of Louisiana,2024,0.05,0.06,0.12,0.63,0.0,0.05,0.03,0.06,0.01,-0.01,-0.01,0.01,-0.002,0.006,-0.014,-0.015
United States Air Force Academy,2024,0.092,0.06,0.12,0.606,0.012,0.09,0.005,0.014,0.023,0.01,0.006,-0.048,-0.001,-0.003,0.016,0.005
United States Naval Academy,2024,0.111,0.059,0.15,0.541,0.004,0.105,0.014,0.014,-0.018,-0.001,0.005,0.002,-0.004,-0.003,0.013,-0.028
University of North Carolina at Chapel Hill,2024,0.183,0.053,0.088,0.527,0.003,0.046,0.04,0.059,-0.026,-0.012,0.023,0.005,-0.025,0.004,0.019,-0.024
University of Rochester,2024,0.18,0.06,0.09,0.36,0.0,0.04,0.03,0.25,0.01,-0.01,0.0,0.0,0.018,-0.002,-0.034,0.014
University of Southern California,2024,0.175,0.066,0.188,0.212,0.004,0.054,0.13,0.171,-0.012,-0.013,-0.048,-0.021,-0.01,0.013,-0.048,-0.04
University of Virginia,2024,0.202,0.072,0.09,0.462,0.001,0.056,0.063,0.052,-0.01,0.019,-0.017,-0.005,-0.009,0.015,0.002,-0.012
Vanderbilt University,2024,0.185,0.061,0.094,0.413,0.001,0.056,0.066,0.123,-0.054,-0.035,-0.005,0.05,-0.049,-0.025,0.005,0.038
Villanova University,2024,0.058,0.055,0.118,0.69,0.001,0.044,0.02,0.015,0.014,0.015,-0.014,-0.024,0.0,-0.009,-0.02,0.028
Wake Forest University,2024,0.036,0.045,0.092,0.697,0.001,0.039,0.061,0.029,-0.022,-0.008,-0.039,0.073,-0.016,-0.009,-0.014,0.079
Washington and Lee University,2024,0.051,0.049,0.083,0.663,0.0,0.04,0.021,0.093,-0.001,-0.015,0.001,-0.006,0.009,0.001,0.003,-0.024
Wellesley College,2024,0.302,0.051,0.105,0.317,0.003,0.082,0.005,0.134,-0.04,-0.039,0.02,0.037,-0.024,-0.043,0.068,0.025
Wesleyan University,2024,0.08,0.06,0.114,0.513,0.001,0.07,0.046,0.115,0.0,0.017,-0.012,-0.031,0.002,0.021,-0.017,-0.019
Whitman College,2024,0.051,0.018,0.141,0.531,0.011,0.064,0.013,0.172,-0.025,-0.026,0.006,-0.001,-0.012,0.067,-0.011,-0.076
William & Mary,2024,0.106,0.043,0.088,0.637,0.003,0.083,0.013,0.027,-0.012,-0.011,-0.013,0.036,-0.011,-0.006,-0.012,0.031
Williams College,2024,0.115,0.073,0.155,0.426,0.0,0.079,0.042,0.11,0.005,0.007,-0.011,-0.027,0.002,-0.003,-0.022,0.001
